"track_name","artist_id","duration","release_date","popularity","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","genre__TIKTOK","genre_TIKTOK DANCE","genre_TIKTOK OPM","genre_TIKTOK PHILIPPINES"
"Shhh (Pew Pew)","3WYkULuwVr6K98AQ2s3SYt",113911,"2019-07-03",0.61,0.821,0.614,4,0.712748077954586,0,0.328,0.106953201825045,0.00144,0.0929,0.518,0.716049382716049,0,1,0,0
"my neck el pasecito challenge","3J84KNygFFEW38l9nRpg51",165070,"2020-03-27",0.44,0.794,0.753,10,0.749007688181656,0,0.0457,0.00153331594330717,0.594,0.0532,0.68,0.296296296296296,0,1,0,0
"Be Happy","3DKkhRCGOG4e8IUPYFPfWs",198965,"2020-06-26",0.69,0.722,0.658,0,0.784838190595387,1,0.119,0.209880629411311,0,0.249,0.592,0.203703703703704,0,1,0,0
"Hay Que Bueno","2KsIqWw1S0S8L8f86GwEMb",160679,"2019-12-26",0.65,0.901,0.808,11,0.845878777042732,1,0.0855,0.246207956794699,0.00829,0.46,0.898,0.432098765432099,0,1,0,0
"Slumber Party (feat. Princess Nokia)","3PyJHH2wyfQK3WZrk9rpmP",178404,"2021-01-15",0.86,0.964,0.398,11,0.640336134453782,0,0.0795,0.00151313409476084,3.95e-05,0.101,0.563,0.314814814814815,0,1,0,0
"Rude Boy","5pKCCKE2ajJHZ9KAiaK11H",222920,"2009-11-20",0.75,0.563,0.75,11,0.800715179688897,1,0.127,0.114016848816259,0,0.0788,0.812,0.740740740740741,0,1,0,0
"Beez In The Trap","0hCNtLu0JehylgoiP8L4Gh",268493,"2012-01-01",0.63,0.813,0.782,9,0.746754872161631,1,0.218,0.022895802629594,0.00165,0.0956,0.681,0.592592592592593,0,1,0,0
"Welcome To New York","06HL4z0CvFAxyc27GXpf02",212600,"2014-10-27",0.61,0.793,0.634,7,0.789594135526551,1,0.0324,0.0383349167675339,1.76e-06,0.304,0.615,0.388888888888889,0,1,0,0
"Obsessed","4gvjmrtzydbMpyJaXUtwvP",134087,"2021-03-18",0.72,0.884,0.665,11,0.677954586089755,1,0.0646,0.38344452690972,9.36e-06,0.111,0.472,0.345679012345679,0,1,0,0
"Slow Motion","2iojnBLj0qIMiKPvVhLnsH",197854,"2015-06-23",0.72,0.733,0.408,7,0.681351689612015,0,0.0388,0.685163162677304,3.92e-05,0.11,0.291,0.253086419753086,0,1,0,0
"Beat It","0ky35RFIp2iNa8TTfGWBAa",161378,"2021-03-13",0.42,0.897,0.663,1,0.715000893974611,1,0.299,0.0202721623185715,0,0.226,0.656,0.216049382716049,0,1,0,0
"For Me","2cMVIRpseAO7fJAxNfg6rD",202410,"2020-10-23",0.68,0.904,0.498,2,0.680421956016449,1,0.324,0.00926296393655029,0,0.0791,0.145,0.487654320987654,0,1,0,0
"Upside Down (feat. Charlie Puth)","164Uj4eKjl6zTBKfJLFKKK",116000,"2020-10-30",0.59,0.816,0.444,2,0.616949758626855,1,0.0546,0.286571653887352,0.0243,0.225,0.566,0.407407407407407,0,1,0,0
"Me & U","27FGXRNruFoOdf1vP8dqcH",192213,"2006-08-07",0.73,0.803,0.454,8,0.789772930448775,0,0.0294,0.355189938944863,0,0.0655,0.739,0.283950617283951,0,1,0,0
"PROBLEMA","4VMYDCV2IEDYJArk749S6m",184506,"2021-02-26",0.84,0.773,0.8,10,0.848131593062757,0,0.0987,0.0618467703240045,0.00403,0.0327,0.842,0.222222222222222,0,1,0,0
